review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
Tempatnya lumayan bagus harga tiket masuk cukup mahal,tempatnya lumayan bagus harga tiket mahal,tempat lumayan bagus harga tiket mahal,Kampung Ketupat,Kalimantan Selatan
"kasih bintang 3 dulu🙏🏼

Tempat nya bagus dan banyak bejualan makanan, tapi sayang HTM nya kemahalan 🙈
semoga ada kebijakan untuk menurunkan HTM",kasih bagus bejualan makanan sayang htm kemahalan semoga kebijakan menurunkan htm,kasih bagus bejualan makan sayang htm mahal moga bijak turun htm,Kampung Ketupat,Kalimantan Selatan
"Tempatnya tidak begitu luas, dan harga tiket masuk cukup mahal ( 25rb per org dihari jumat-minggu.  Senin-kamis 20rb ) . Parkir bayar  motor 3rb, parkir mobil 5rb.",tempatnya luas harga tiket mahal ribu dihari jumat minggu senin kamis ribu parkir bayar motor ribu parkir mobil ribu,tempat luas harga tiket mahal ribu hari jumat minggu senin kamis ribu parkir bayar motor ribu parkir mobil ribu,Kampung Ketupat,Kalimantan Selatan
"Kampung ketupat ini letak nya pas dipinggir sungai martapura nya. Tempatnya tak begitu luas namun bersih. Byk kios2 makanan didalam namun hanya beberapa yang buka. Masih sepi pengunjung dikarena kan tiket masuk yg mahal ( 25rb per org dihari jumat-minggu.  Senin-kamis 20rb ) . Parkir motor 3rb, parkir mobil 5rb. Dan yg bikin kecewa itu msh blm siap area yg utk ikon kampung ketupat ny itu dimana kita pengunjung sudah dikenakan tarif masuk. Mungkin klo free tiket masuk masih bisa lah kita ngerti. Ini udah suruh kita bayar malah blm siap bagian penting nya dari kampung ketupat itu sendiri. Aku merasa tertipu 😏🙄.",kampung ketupat letak pas dipinggir sungai martapura tempatnya luas bersih kios makanan didalam buka sepi pengunjung dikarena tiket mahal ribu dihari jumat minggu senin kamis ribu parkir motor ribu parkir mobil ribu bikin kecewa area ikon kampung ketupat dimana pengunjung dikenakan tarif kalo free tiket mengerti suruh bayar kampung ketupat tertipu,kampung ketupat letak pas pinggir sungai martapura tempat luas bersih kios makan dalam buka sepi unjung karena tiket mahal ribu hari jumat minggu senin kamis ribu parkir motor ribu parkir mobil ribu bikin kecewa area ikon kampung ketupat mana unjung kena tarif kalo free tiket erti suruh bayar kampung ketupat tipu,Kampung Ketupat,Kalimantan Selatan
Tempatnya lumayan asyik. Tp untuk harga tiket masuk menurut aku perlu d pertimbangkan lg. Untuk tempat duduk bagi yg ingin makan. Sepertinya harus d tambah lg kursinya.,tempatnya lumayan asyik harga tiket pertimbangkan duduk makan kursinya,tempat lumayan asyik harga tiket timbang duduk makan kursi,Kampung Ketupat,Kalimantan Selatan
"Tiket masuk bisa di pertimbangkan kembali agar bisa menarik pengunjung lebih banyak lagi.
Tempat sampah tersedia cukup, area cukup bersih.",tiket pertimbangkan menarik pengunjung sampah tersedia area bersih,tiket timbang tarik unjung sampah sedia area bersih,Kampung Ketupat,Kalimantan Selatan
Mantap.. Semoga banjarmasin semakin banyak wisata yang iconic... Amiiin..,mantap semoga banjarmasin wisata iconic amin,mantap moga banjarmasin wisata iconic amin,Kampung Ketupat,Kalimantan Selatan
"Yang bener bener cari ketupat, disini banyak pilihan ya. Mau ketupat model apa harga berapa ada disini. Tapi, rata-rata harganya sama aja.",cari ketupat pilihan ketupat model harga rata rata harganya,cari ketupat pilih ketupat model harga rata rata harga,Kampung Ketupat,Kalimantan Selatan
"Tempatnya bagus, view nya juga cantik",tempatnya bagus view cantik,tempat bagus view cantik,Kampung Ketupat,Kalimantan Selatan
Pusat kota,pusat kota,pusat kota,Kampung Ketupat,Kalimantan Selatan
Murah meriah...,murah meriah,murah riah,Kampung Ketupat,Kalimantan Selatan
